"","word","a1","a2","a3","a4","a5"
"1146","statistic","budgets","citizen","coffer","future","lies"
"1147","stead","afloat","amalinda","camp","economic","farm"
"1148","stemmed"," "," "," "," "," "
"1149","stench","avoid","beast","beneficent","camel","camels"
"1150","stepson","answer","arrive","care","coordinate","desired"
"1151","stiffness","type","material","amongst","apply","behave"
"1152","stiller","made","settle","stereotypes","plays","among"
"1153","stimulated","accustomed","americans","canada","canadians","civic"
"1154","stings","benadryl","counted","elbow","generic","given"
"1155","stipend","blessing","debts","door","everyday","front"
"1156","stoic","stoics","able","achieve","attain","believes"
"1157","stroking"," "," "," "," "," "
"1158","strollers","like","say","band","circle","exercises"
"1159","stumped"," "," "," "," "," "
"1160","stunts","fighting","improvement","ares","chimera","choppy"
"1161","stupidly","abba","arrange","asked","evagrios","fiercer"
"1162","stylists","york","lives","three","new","actual"
"1163","stymied"," "," "," "," "," "
"1164","suave","apron","chair","decks","drags","hour"
"1165","subplot","sudden","subplots","always","issue","add"
"1166","subpoenas","groups","brunner","letohiovote","org","secretary"
"1167","subsided"," "," "," "," "," "
"1168","substituted","bishops","blessed","breviary","celebrated","century"
"1169","substitutes","catastrophic","crop","european","failure","hallertauer"
"1170","substitution","aligned","bears","boyhood","brady","breaks"
"1171","subtext","notes","users","boyd","bringing","classics"
"1172","suburbia","create","agenda","bio","contacted","convert"
"1173","summarize","absence","abstract","anchored","approximation","captured"
"1174","summarized"," "," "," "," "," "
"1175","sundown","observing","right","fine","real","learned"
"1176","sunflowers","actual","behold","bones","canada","cancel"
"1177","superiors","akin","barbaric","calling","chen","cop"
"1178","superstitious","christmas","facility","giants","individual","lobby"
"1179","supple"," "," "," "," "," "
"1180","suppressed","light","abortion","ache","drugs","esteem"
"1181","surname","merely","primarily","examining","language","term"
"1182","susceptible","rest","arena","blogging","booked","charitable"
"1183","swank","consider","decades","decor","enough","feeling"
"1184","swears","certain","couples","hearing","versions","person"
"1185","swells"," "," "," "," "," "
"1186","swims","briefly","checking","designed","fillmore","jane"
"1187","syllables","follows","loosely","structure","abbreviate","aus"
"1188","sympathize","friend's","oscar","requires","success","sufferings"
"1189","systematically","alphabet","bath","bathroom","cleaned","cleaning"
"1190","tabloids"," "," "," "," "," "
"1191","tampons","bill","consider","damn","decide","dollar"
"1192","tannins","bourgueil","chinon","compared","cousins","fruitier"
"1193","tantrums","educators","kicking","adore","ensuring","feed"
"1194","tanya","five","addition","afghanistan","air","began"
"1195","tasking","awry","faulty","goes"," "," "
"1196","tasteful","casting","fav","notice","line","nudity"
"1197","taster","angela","aspiring","classes","concerned","cookery"
"1198","teaming"," "," "," "," "," "
"1199","tearful"," "," "," "," "," "
"1200","teeming","eyes","along","white","amid","amount"
"1201","temperament","adapt","affect","approach","behaviours","biological"
"1202","tempt"," "," "," "," "," "
"1203","tendencies","actants","activity","bodies","components","compose"
"1204","tenders","bought","enjoyed","freezer","grocery","husband"
"1205","terminals","will","accept","cabs","chains","contactless"
"1206","testifies","birth","certificate","beauty","certainly","earth"
"1207","textiles","standard","african","variety","base","begin"
"1208","thefts","brings","burglaries","identity","impact","know"
"1209","thereafter","accomplish","believed","believing","brainwashed","changes"
"1210","thistle","cain","conservative","degenerate","lapel","malicious"
"1211","thrillers","accordingly","appropriate","fit","natural","naturally"
"1212","throats","cover","hide","banned","cite","commercial"
"1213","thrower","air","calls","camp","collects","degenerates"
"1214","thundering","blast","firing","followed","happened","haroon"
"1215","ticketing","although","bay","beginning","benches","booths"
"1216","tiers","three","however","general","cakes","exchanged"
"1217","tilting","according","attacked","bridge","bulletin","country"
"1218","tome","classiques","larousse","minn","nouveaux","older"
"1219","toolbox","access","analytical","capabilities","direct","functions"
"1220","torches","chlorofluorocarbons","danube","defunded","driven","frankenstein"
"1221","torment","admit","enjoyable","liking","thoroughly","scorpion"
"1222","tosh","room","asks","assumes","bed","brenda"
"1223","trademarks","continue","continuing","fact","groundless","hilltone"
"1224","traffickers","threaten","abandoned","quickly","press","fact"
"1225","tragedies"," "," "," "," "," "
"1226","trainees","areas","delighted","grilling","interviewing","level"
"1227","transpired","deeply","follow","procedures","saddened","sideways"
"1228","traps","allowing","surface","september","season","boar"
"1229","travesty","alive","amy","begin","brackett","cds"
"1230","trellis","archway","atop","big","blooms","bushes"
"1231","tremors","atkinson","curling","desk","finger","generally"
"1232","trepidation"," "," "," "," "," "
"1233","tribulations","forth","hath","observe","security","shall"
"1234","tributes","double","equipped","existing","protect","reaped"
"1235","trickled"," "," "," "," "," "
"1236","triggers","went","dialogue","introduce","reminents","surprises"
"1237","trina","facials","start","calling","everyone","best"
"1238","tropes","ancient","belongs","conception","determined","ditko"
"1239","truffles","chocolate","bottom","put","coats","dip"
"1240","trumpets","making","acoustically","ayako","circle","dramatically"
"1241","tucking","blossom","boned","bruell","construct","cream"
"1242","twitching","curled","kinda","sum","superhead","toes"
"1243","typewriters","today","amazing","appears","astrotone","company's"
"1244","ugliness","aversion","chicks","cilantro","dear","escalators"
"1245","umbrellas","apart","ballons","ceremony","changing","cheering"
"1246","unaffected"," "," "," "," "," "
"1247","unavoidable","circle","concentration","cruiser","duty","everytime"
"1248","unbalanced","barack","boehner","direction","extraordinarily","obama"
"1249","unbridled"," "," "," "," "," "
"1250","unchecked","abused","black","complicit","consequence","described"
"1251","uncool","accordion","aspect","breathless","brief","bristle"
"1252","undermines"," "," "," "," "," "
"1253","understated","shades","comparative","dominate","evidenced","falls"
"1254","undertake","others","attempts","choosing","differing","diversify"
"1255","undertones","carefully","choreographed","comically","cousins","eco"
"1256","undesirable","delivering","educate","enabling","enemy","expedient"
"1257","undoing"," "," "," "," "," "
"1258","unearthed","afraid","cash","claiming","compilation","effort"
"1259","unease"," "," "," "," "," "
"1260","unelected","arguable","census","councillor","councilmen","cronies"
"1261","unending","memorial","noted","passages","referencing","absolutely"
"1262","unexplained","anc","calculated","commission's","comprehension","conclusions"
"1263","unfettered"," "," "," "," "," "
"1264","unflattering","feel","bajillion","baring","blinking","comical"
"1265","unfounded","blake","examine","meltzer","welfare","agency"
"1266","unharmed"," "," "," "," "," "
"1267","unimpressed","air","booked","burn","conditioner","gravy"
"1268","uninteresting","complementary","computational","excerpt","flake","gary"
"1269","uniqueness","avenues","causes","chosen","compelled","completeness"
"1270","unknowingly","concerned","constant","couldn","curling","dangerously"
"1271","unleashing","cms","data","kraken","power","like"
"1272","unmistakable","crossed","demonstrable","deterrence","essence","toughness"
"1273","unnerving"," "," "," "," "," "
"1274","unplugged","adopted","agenda","assembled","barcelona","context"
"1275","unresponsive"," "," "," "," "," "
"1276","unscathed","afford","bigshots","coach","flick","fourth"
"1277","unwise","belief","continue","gathered","gone","perceptions"
"1278","unwittingly"," "," "," "," "," "
"1279","upheaval","arab","year"," "," "," "
"1280","uproar"," "," "," "," "," "
"1281","upstart"," "," "," "," "," "
"1282","upswing"," "," "," "," "," "
"1283","uptight","beats","chance","channing","egos","gotta"
"1284","urinal","experience","thinking","seat","artist","artistic"
"1285","utensils","alleviate","allow","attendees","clutter","desserts"
"1286","uterus","amazes","beasts","chopped","invader","jeannine"
"1287","vacationing","agrees","horny","initially","involve","meet"
"1288","valentin","one","action","admirers","advice","cross"
"1289","variance","may","compared","extreme","mean","accumulating"
"1290","variant","action","bigger","blaze","corona","elegant"
"1291","varietal","adopted","allow","along","america","become"
"1292","vendetta","cristo","gold","katy","kissed","mash"
"1293","vengeful"," "," "," "," "," "
"1294","vermouth","big","noticed","aromatics","boring","chunks"
"1295","vibrating","affected","beings","certain","common","current"
"1296","vibrations","drum","state","arouse","aspects","celebrate"
"1297","victimized","across","british","centuries","colonialism","come"
"1298","videotape","alive","contacted","crucial","kletzky","leiby"
"1299","vigilance","barefoot","binding","legally","marshals","papers"
"1300","vignettes","acts","amused","appears","assigned","behavior"
"1301","vigor"," "," "," "," "," "
"1302","vindicated","abridged","accurate","analysis","collapse","considered"
"1303","virgins","allah","appeared","awards","beauty","breasts"
"1304","vocalists","allows","creativity","done","follows","forth"
"1305","voltaire","last","least","whole","time","law"
"1306","vowels","amount","four","ojibwe","refer","long"
"1307","voyager","form","right","outer","turns","space"
"1308","vulture","center","little","attracted","ayod","carter"
"1309","wading","protection","rap","rip","rubber","sandal"
"1310","wafers","turned","averted","bulk","failure","funny"
"1311","wagons","bob","french","guards","kitchen","locate"
"1312","waistline","finish","finishing","grosgrain","opted","original"
"1313","waitresses","members","bus","blondes","bucks","candles"
"1314","walrus","ice","alone","beast","becomes","bellow"
"1315","warehouses","use","acquisitions","activity","aelius","approved"
"1316","wares","cause","considerable","epoch","prydniprov","slavs"
"1317","warranted","charging","evans","prosecuting","charge","supported"
"1318","waterfalls","state","creek","reason","accompany","article"
"1319","weaponry","artillery","assad","quitting","strength","alice"
"1320","weeklong"," "," "," "," "," "
"1321","weep","across","city","towards","add","adds"
"1322","weirdness","watch","aloud","andy","bravo","cohen"
"1323","whacked","years","impossible","lucky","mama","thoughts"
"1324","widened","dumbfounded","expecting","expression","expressive","joy"
"1325","wildfires","acres","aquifers","arid","deplete","digit"
"1326","willfully","accurate","awareness","defines","done","drives"
"1327","winks","commander","naughty","oohh","scared","make"
"1328","woodwork","carroll","cleared","compare","earlier","evidence"
"1329","wording","abundant","alternate","authentic","commended","function"
"1330","worrisome","criticism","current","drift","insiders","irrelevance"
"1331","worsen"," "," "," "," "," "
"1332","worsened"," "," "," "," "," "
"1333","wrangler","attached","caught","compartment","damaging","destroying"
"1334","wrangling"," "," "," "," "," "
"1335","wrecks","blogroll","blogspot","cakewrecks","com","host"
"1336","wristband","music","pants","please","ass","follow"
"1337","yawning","pandiculation","accompanied","aspect","fascinating","invariably"
"1338","yearning","experience","affected","analogy","animals","belmonts"
"1339","zoomed","rings","activated","bills","cook","cook's"
